NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT04874012,"Taurine Effect on Glycemic, Lipidic and Inflammatory Profile in Individuals with Type 2 Diabetes",https://clinicaltrials.gov/study/NCT04874012,TAUGLIP-DM2,RECRUITING,"Type 2 diabetes mellitus (DM2) is characterized by chronic hyperglycemia, which is a risk factor for comorbidities and death. Although conventional pharmacotherapy is effective, some individuals do not reach the glycemic targets, requiring adjuvant therapies. Taurine is a semi-essential amino acid with antioxidant and osmoregulatory properties, commonly used as a nutritional supplement. Pre-clinical studies show its effectiveness in reducing blood glucose and cholesterol, but there are no well-conducted clinical studies evaluating the effect of taurine on glycated hemoglobin. Additionally, animal models showed that taurine had a protective effect from diabetic nephropathy. The hypothesize of this study is that taurine administration improves the glycemic, lipid, inflammatory, and anthropometric parameters in DM2 individuals.",NO,"Diabetes Mellitus, Type 2",DRUG: Active comparator Taurine|OTHER: Placebo Comparator,"HbA1c, Changes from baseline glycated hemoglobin levels at 12 weeks, baseline and 12 weeks","Fasting glucose, Changes from baseline fasting glucose levels at 12 weeks, baseline and 12 weeks|Insulin levels, Changes from baseline insulin levels at 12 weeks, baseline and12 weeks|Total serum cholesterol (CT) and fractions, Changes from baseline total serum cholesterol, high-density lipoprotein (HDL-C), and low-density lipoprotein cholesterol (LDL-C) levels at 12 weeks, baseline and12 weeks|Triglycerides serum levels, Changes from baseline triglycerides serum levels at 12 weeks, baseline and12 weeks|Glucose variability, Changes in glucose levels throughout the day assessed by a continuous glucose monitoring system (CGMS), for 2 weeks (10-12th week)|Cytokine levels, Changes from baseline TNF-α, IL-1, IL-6 levels at 12 weeks, baseline and 12 weeks|Protein creatine index, Changes from baseline protein creatinine index measured in urine at 12 weeks., baseline and 12 weeks|Albuminuria, Changes from baseline albuminuria levels at 12 weeks, baseline and 12 weeks|Body mass index (BMI), Changes from baseline BMI calculated by weight (kg) and height (cm) at 4, 8, and 12 weeks., baseline and 4, 8, and 12 weeks",,Hospital de Clinicas de Porto Alegre,,ALL,"ADULT, OLDER_ADULT",PHASE2,94,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",20200559,2021-06-12,2024-12-30,2025-03-01,2021-05-05,,2024-10-08,"Hospital de Clínicas, Porto Alegre, Rio Grande do Sul, 90630090, Brazil",
NCT05743244,Janus Kinase (JAK) Inhibitors to Preserve C-Peptide Production in New Onset Type 1 Diabetes (T1D),https://clinicaltrials.gov/study/NCT05743244,,RECRUITING,"A multi-center, placebo-controlled, double blind, 1:1:1 randomized control clinical trial testing two different JAK Inhibitors abrocitnib, ritlecitinib, and placebo in subjects with recent onset Stage 3 Type 1 Diabetes within 100 days of diagnosis.",NO,"Diabetes Mellitus, Type 1",DRUG: Abrocitinib 200 MG Oral Tablet|DRUG: Ritlecitinib|DRUG: Placebo,"The area under the stimulated C-peptide curve (Y_AUC), The primary outcome of interest is the area under the stimulated C-peptide curve over the 2-hour mixed meal glucose tolerance test conducted at the 12-month visit (Y_AUC) over the 2-hour mixed meal glucose tolerance test conducted at the 12-month visit., 12 Months",,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Pfizer,ALL,"CHILD, ADULT",PHASE2,78,NIH,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",TN31 JAK Inhibitors,2023-10-19,2026-06-30,2027-06-30,2023-02-24,,2024-10-21,"Children's Hospital Orange County, Orange, California, 92868, United States|Stanford University, Palo Alto, California, 94304, United States|University of California- San Francisco, San Francisco, California, 94143, United States|Barbara Davis Center at University of Colorado Anschutz Medical Campus, Aurora, Colorado, 80045, United States|Yale University School of Medicine, New Haven, Connecticut, 06511, United States|University of Florida, Gainesville, Florida, 32610, United States|University of Miami, Miami, Florida, 33136, United States|University of South Florida Diabetes Center, Tampa, Florida, 33612, United States|Emory Children's Center, Atlanta, Georgia, 30322, United States|Indiana University, Indianapolis, Indiana, 46202, United States|Joslin Diabetes Center, Boston, Massachusetts, 02215, United States|University of Minnesota, Minneapolis, Minnesota, 55455, United States|The Children's Mercy Hospital, Kansas, Missouri, 64111, United States|UBMD Pediatrics, Buffalo, New York, 14203, United States|Columbia University-Naomi Berrie Diabetes Center, New York, New York, 10032, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, 15224, United States|Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States|University of Texas Southwestern, Dallas, Texas, 75390, United States|University of Utah, Salt Lake City, Utah, 84112, United States|Benaroya Research Institute, Seattle, Washington, 98101, United States",
NCT05819138,Type 1 Diabetes Impacts of Semaglutide on Cardiovascular Outcomes,https://clinicaltrials.gov/study/NCT05819138,T1-DISCO,RECRUITING,"This trial plans to learn more about the effects of a medication, semaglutide, on cardiovascular function, kidney function, and insulin sensitivity in adults with type 1 diabetes. This medication has been effective in reducing cardiovascular disease and diabetic kidney disease and improving glucose control and BMI in adults with type 2 diabetes. This study aims to look at how well the medication works in people with type 1 diabetes. Semaglutide is not approved by the FDA to be used in this way. These procedures are considered to be experimental.",NO,"Diabetes Mellitus, Type 1",DRUG: Semaglutide Pen Injector|DRUG: Placebo,"Change in Ascending Aortic Pulse Wave Velocity (AA PWV), AA PWV is a measure of central arterial stiffness. A lower value indicates a better outcome., Baseline, month 8|Change in Carotid and Femoral Artery Pulse Wave Velocity (CF-PWV), CF-PWV is a measure of peripheral arterial stiffness. A lower value indicates a better outcome., Baseline, month 8|Change in Carotid and Radial Artery Pulse Wave Velocity (CR-PWV), CR-PWV is a measure of peripheral arterial stiffness. A lower value indicates a better outcome., Baseline, month 8","Change in Insulin Sensitivity, Insulin Sensitivity is a measure of how well the body responds insulin. A higher value indicates a better outcome; a lower value indicates a worse outcome., Baseline, month 8|Change in Renal Vascular Resistance (RVR), RVR is a measure of mean arterial pressure to renal blood flow. A higher value indicates a worse outcome., Baseline, month 8",,"University of Colorado, Denver","National Heart, Lung, and Blood Institute (NHLBI)",ALL,ADULT,PHASE3,60,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",22-0794|R01HL165433,2023-06-21,2026-10,2026-12,2023-04-19,,2024-11-18,"University of Colorado Anschutz Medical Campus, Aurora, Colorado, 80045, United States|University of Washington Medicine Diabetes Institute (UWMDI), Seattle, Washington, 98109, United States",
NCT06161844,Efficacy and Safety of Semaglutide Injection (HD1916) in Patients with Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT06161844,,RECRUITING,To evaluate the similarity of the efficacy and safety of semaglutide injection (HD1916) vs. Ozempic® in patients with type 2 diabetes mellitus (T2DM) with poor blood glucose control after metformin treatment.,NO,Type 2 Diabetes Mellitus,DRUG: semaglutide injection (HD1916)|DRUG: Ozempic®,"Change from baseline to week 32 in glycosylated haemoglobin (HbA1c), Week 32","Change from baseline to week 20 in HbA1c, Week 20|Change from baseline to week 20, 32 in fasting blood glucose, Week 20 and 32|Percentage of participants who achieved HbA1c < 7.0% and HbA1c ≤6.5% at week 20 or week 32, Week 20 and 32|Change from baseline to week 20, 32 in body weight, Week 20 and 32|Change from baseline to week 20, 32 in postprandial blood glucose, Week 20 and 32|Percentage of participants who were offered rescue medication at week 20, Week 32|Incidence and severity of adverse events, Week 35|Occurence of anti-semaglutide antibodies and neutralizing antibody, Week 35|Blood concentration of semaglutide, Week 35",,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE3,506,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,HD1916-002,2024-02-23,2025-08-31,2026-02-28,2023-12-08,,2024-10-10,"Sun Yat-sen Memorial Hospital, Sun Yat-sen University, Guangdong, Guangdong, 510235, China",
NCT02846571,Pancreatic Islet Transplantation Into the Anterior Chamber of the Eye,https://clinicaltrials.gov/study/NCT02846571,,RECRUITING,The intervention in this trial is intraocular islet transplantation. A single dose of 1000 - 3000 Islet Equivalents (IEQ)/kg recipient body weight (BW) will be infused into the anterior chamber of the eye through a self-sealing incision in the peripheral cornea. The procedure is projected to take approximately 20-30 minutes. Subject will remain flat on their back for 1 - 3 hours after islet infusion to maximize adhesion of the islets to the iris.,NO,Diabetes,BIOLOGICAL: Human Pancreatic Islet Transplantation,"Absence of ocular complications, Absence of, corneal decompensation, increased intraocular pressure (IOP), uveitis, cataract formation, retinal detachment, retinal bleeding, retinal vasculopathies, macular edema, optic neuropathy, and endophthalmitis in the transplanted eye, 24 months after transplant|Absence of sympathetic ophthalmia, Absence of ophthalmic complications in the non-transplanted eye and assessment of diabetic retinopathy compared to baseline before transplant, 24 months after transplant|Confirmation of intraocular islet graft survival, Confirmation of positive c-peptide (\&amp;gt;1 ng/ml) in the aqueous humor of the transplanted eye and assessment of intraocular islet graft integrity by slit-lamp microscopy and OCT imaging, 24 months after transplant",,,Midhat H. Abdulreda,Diabetes Research Institute Foundation|Bascom Palmer Eye Institute,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,2,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,20160640,2019-12-05,2026-12-31,2027-12-31,2016-07-27,,2025-01-16,"Bascom Palmer Eye Institute, Miami, Florida, 33136, United States|Diabetes Research Institute, University of Miami Miller School of Medicine, Miami, Florida, 33136, United States",
NCT06474598,An Adaptive Design Study of MTX228,https://clinicaltrials.gov/study/NCT06474598,,RECRUITING,"MTX228 has been identified as a medication that might allow the re-growth of insulin producing beta cells in people with Type 1 Diabetes. Promoting the re-growth of lost beta cells would be beneficial to people with Type 1 Diabetes because it would allow them to take less insulin by injection and would improve their overall blood sugar control while reducing the risk and rate of low blood sugars. This open-label dose selection study aims to determine the optimal dose ofMTX228 for use in a future phase IIb study.

The purpose is to investigate the relative effectiveness of different doses of MTX228 and to select the most effective dose for further investigation in a phase 2b study.",NO,Type 1 Diabetes Mellitus,DRUG: MTX228|DEVICE: DEXCOM G6,"Change in AUC C-peptide, C-peptide level as it relates to MTX228 doses

Change in postprandial C-peptide level area under the curve (AUC), in a 2-hour Mixed Meal Tolerance Test (MMTT), between Days 0 and 84, as well as a change in AUC C-peptide between subjects receiving different doses of MTX228.

Justification being that the ideal dose of MTX228 will cause the largest relative increase in C-peptide levels., Days 0 and 84|Dose selection for phase IIb study, A change in AUC C-peptide between subjects receiving different doses of MTX228 will determine the best doses

Justification being that the ideal dose of MTX228 will cause the largest relative increase in C-peptide levels., Days 0 and 84","Lowered or increased total daily insulin dose, Changes in total daily insulin dose will be monitored as per:

•Change in daily insulin use as recorded in subject's journal

To observe if an increase in MTX228 will decrease daily insulin usage, Days 84 and 168|To assess the time spent in a plasma glucose range of 3.9-10.0 mol/L, Changes in total daily insulin dose will be monitored based upon continuous glucose monitoring (CGM) Which dose of MTX228 helps facilitate a longer period of time spent in this optimal plasma glucose range, Days 84 and 168|Time spent in high range (10.1-13.9 mmol/L) and very high range (>13.9) based upon CGM in the last two weeks of the main treatment period and separately of the extended treatment, Changes in total daily insulin dose will be monitored based on continuous glucose monitoring (CGM)

Assessing which dose of MTX228 is least effective at keeping the participant out of the high and very high range. This will help aide in the dose selection phase, Days 84 and 168|Change in HbA1c, Changes in total daily insulin dose will be monitored as per CGM and blood tests.

Ideally, HbA1c should be lowered over time with an increased dose of MTX228, Days 84 and 168|Change in fasting plasma glucose (FPG), If the beneficial metabolic effects are mediated by an expansion of beta cell mass they should persist during the washout period., Days 84 and 168|The number of episodes of level 2 and 3 hypoglycemia in study participants, The number and duration of level 2 and 3 hypoglycemic events based upon CGM throughout treatment and follow up. Ideal doses of MTX228 should decrease the number of episodes for participants., Days 84 and 168","Changes in AUC C-peptide between days 0 and 168, and between Days 84 and 168 in those completing the optional extension study., •Changes observed in C-peptide or metabolic responses which increase during the extension period would support a longer treatment duration., days 0 and 168, and between Days 84 and 168|•Changes in secondary end-points between days 0 and 168, and between Days 84 and 168 (in subjects completing the extension study), •Early onset type 1 diabetes is associated with a more rapid decline in beta cell mass, days 0 and 168, and between Days 84 and 168|•Stratified analysis by baseline C-peptide level, diabetes duration, age of diabetes onset, HbA1c, The potential for beta cell regeneration may be dependent on how many beta cells are present and current metabolic demands, days 0 and 168, and between Days 84 and 168",University of Alberta,,ALL,"ADULT, OLDER_ADULT",PHASE2,24,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,MTX228-2024,2024-11-14,2026-10,2027-12,2024-06-25,,2025-01-06,"University of Alberta, Edmonton, Alberta, T6G 2R3, Canada",
NCT03746769,Improving Islet Transplantation Outcomes With Gastrin for Type I Diabetes,https://clinicaltrials.gov/study/NCT03746769,,RECRUITING,"This clinical study will evaluate the safety and effectiveness of Gastrin treatment with islet transplantation to help patients with difficult to control type 1 diabetes make insulin again and improve blood sugar control.

This study involves two investigational (experimental) products not yet approved by the U.S. Food and Drug Administration (FDA) as a treatment for any disease:

1. Human allogenic islet cells (islet cells from a deceased, unrelated human donor)
2. Gastrin-17 (Gastrin) - a hormone secreted by the gut",NO,"Diabetes Mellitus, Type 1",BIOLOGICAL: Allogenic Human Islet Cells|DRUG: Gastrin 17,"Proportion of subjects who are insulin independent, free from severe hypoglycemia and have HbA1c less than or equal to 6.5% (""complete response""), 1 year post transplant (6 months after second course of Gastrin)","Proportion of subjects who are free of severe hypoglycemic episodes (SHE) and have a HbA1c less than or equal to 7.0% (""partial response"")., At Month 1, Month 2.5, and Month 6 post start of each Gastrin course","Reduction/elimination of hypoglycemia, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|Reduction in daily insulin use, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|Reduction of daily insulin use per 100,000 IEQ transplanted, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|C-peptide/insulin secretion response to glucose/arginine stimulation and other metabolic studies., At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|Incidence of treatment-related adverse events, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|Incidence of a change in immunosuppression drug regimen, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|The incidence of immune sensitization defined by presence of anti-HLA antibodies absent prior to transplant, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|Incidence of discontinuation of immunosuppression, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|Incidence of change or early discontinuation of Gastrin treatment, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|Incidence of change or early discontinuation of sitagliptin/esomeprazole supportive therapy, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|Improvement in glucose time in range during continuous glucose monitoring, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course|Improvement in Personal Glycemic State (PGS) score calculated from continuous glucose monitoring, At Month 1, Month 2.5, and Month 6 post start of each Gastrin course",City of Hope Medical Center,"University of California, Los Angeles",ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,18156,2019-07-07,2028-08-01,2028-08-01,2018-11-20,,2025-02-18,"City of Hope Medical Center, Duarte, California, 91010, United States",
NCT06825182,Current Status of Islet Alpha Cell Function in Patients with Type 2 Diabetes,https://clinicaltrials.gov/study/NCT06825182,,RECRUITING,"By detecting the fasting and postprandial 120-minute glucose, insulin (Insulin, INS), C-peptide (C-peptide, Cp), glucagon (GCG) levels in newly diagnosed type 2 diabetes patients, or the 0-minute, 30-minute, 120-minute glucose, INS, Cp, GCG levels during the Oral Glucose Tolerance Test (OGTT), and examining the glucose, INS, Cp, GCG levels during hypoglycemia, the current status of islet alpha cell function in diabetic patients is observed. Type 2 diabetes patients willing to participate are treated with GLP-1RA for 3 months, and then retested for fasting and postprandial 120-minute glucose, INS, Cp, GCG, or the 0-minute, 30-minute, 120-minute glucose, INS, Cp, GCG during OGTT, as well as the counter-regulatory hormone levels during hypoglycemia, to assess the improvement of islet alpha cell function by GLP-1RA.",NO,Type 2 Diabetes Mellitus,DRUG: Outpatient newly diagnosed type 2 diabetes subjects|DRUG: Inpatient newly diagnosed type 2 diabetes subjects,"Glucagon levels, Compare the glucagon levels in diabetic subjects during hyperglycemia and hypoglycemia, and the changes in GCG after 3 months of GLP-1RA treatment, 19 months",,,"Nanjing First Hospital, Nanjing Medical University",,ALL,"ADULT, OLDER_ADULT",PHASE3,1000,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,KY20240514-11,2024-11-07,2025-08-01,2025-12-31,2025-02-13,,2025-02-13,"Nanjing First Hostital, Nanjing, Jiangsu, 210000, China",
NCT06827171,Impact of LLL and Aerobic Exercise on Peripheral Arterial Outcomes in Patients With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT06827171,LLLT,NOT_YET_RECRUITING,"Diabetes is one of the fastest-growing diseases worldwide, It has Devastating macrovascular complications (cardiovascular disease) and microvascular complications (such as diabetic kidney disease, diabetic retinopathy, and neuropathy) In Egypt, factors in patients that affect diabetic control include the patient's education and occupation and smoking status. Physical exercise is important for diabetes control. Metformin and investigation availability have a positive association with diabetes control.

Diabetes mellitus increases the risk and accelerates the course of peripheral artery disease, making patients more susceptible to ischemic events and infections and delaying tissue healing. The current understanding of pathogenic mechanisms is mainly based on the negative influence of diabetes mellitus on atherosclerotic disease and inflammation (Fadini et al., 2020).) An early diagnosis of peripheral arterial diseases PAD and correctly identifying patients with Chronic limb-threatening ischemia CLTI are crucial in patients with diabetes to improve outcomes.

Several treatment strategies can be subdivided into lifestyle modification, medical management, endovascular therapies, and surgical interventions for the treatment of PAD.

Exercise training improves walking ability, distances, physical function, and vitality. Physical activity by supervised exercise is recommended in first-line therapy for intermittent claudication by SVS, ESVS, and AHA (Treat-Jacobson et al., 219) More specifically, a supervised exercise program consists of walking a minimum of three times per week (30-60 min/session) for at least 12 weeks Therapeutic laser treatment, also known as low-level laser therapy (LLLT), offers numerous benefits. It is non-surgical, promotes tissue healing, and reduces edema, inflammation, and pain.",NO,Type 2 Diabetes Mellitus (T2DM),COMBINATION_PRODUCT: aerobic exercise + low-level laser therapy|OTHER: Aerobic exercise,"body mass index, Body mass index (Kg/M\^2): by dividing the weight by kilogram over Height by meter square., 3 month|peak systolic velocities (PSV), Duplex ultrasonography of the lower extremity arteries, from common femoral to pedal arteries is used to measure PSV

* Peak systolic velocities (PSV) were recorded in meters per second (Ugwu et al., 2021).
* The normal peak systolic velocity (PSV) in peripheral lower limb arteries varies from 45-180 cm/s (Abdelrahman, 2010).

Severe arterial disease manifests as a PSV over 200 cm/s, monophasic waveform, and spectral broadening of the Doppler waveform., 3 months|Ankle-Brachial Index (ABI) %, • Ankle-Brachial Index (ABI) is a ratio of the highest ankle systolic blood pressure obtained in the anterior tibial/ dorsalis pedis or posterior tibial artery to that of the highest brachial systolic pressure.

An ABI \< 0.9 was diagnostic of PAD and values were stratified according to severity as:

* 0.7-0.89 = mild arterial obstruction.
* 0.5-0.69 = moderate arterial obstruction.
* ≤ 0.5 = severe arterial obstruction., 3 months|The visual analog scale (VAS) questionnaire for pain, The visual analog scale (VAS) is a validated, subjective measure for acute and chronic pain. Scores are recorded by making a handwritten mark on a 10-cm line that represents a continuum between ""no pain"" and ""worst pain."" Delgado etal., 2018).

* no pain (0-4 mm)
* mild pain(5-44 mm)
* moderate pain (45-74 mm)
* severe pain (75-100 mm). (Weigl K et al., 2021), 3 months|The Edinburgh Claudication Questionnaire (ECQ), The Edinburgh Claudication Questionnaire (ECQ) Definition of positive classification requires all of the following responses: \\Yes"" to (1), \\No"" to (2), \\Yes"" to (3), Grade 1 \\No"" to (4), and Grade 2 \\Yes"" to (4). If these criteria are met, a typical claudicant is one who indicates the pain is in the calf, regardless of whether the pain is also marked at other sites; a diagnosis of atypical claudication is made when the pain is marked in the thigh or buttock, in the absence of any calf pain. Subjects should not be diagnosed with claudication if the pain is indicated in the hamstrings, feet, shins, and joints, or radiates in the absence of any calf pain, 3 months","The initial claudication distance and The absolute claudication distance (meters), The initial claudication distance (ICD), or pain-free walking distance; is the distance walked at the onset of claudication pain The absolute claudication distance (ACD), or maximal walking distance at which claudication pain becomes so severe that the patient is forced to stop (Jongert et al., 2003), 3 months|Maximum oxygen consumption Vo^2 max ((ml/kg/min)), depend on Modified Bruce protocol with the treadmill. Modified Bruce protocol, the first stage at 1.7mph and 0% grade second stage at 1.7 mph 5% grade, and the third stage at 1.7 mph and 10% grade.

The test score is the time taken on the test, in minutes. This can also be converted to an estimated VO2 max score using the calculator below and the following formulas, where the value ""T"" is the total time completed (expressed in minutes and fractions of a minute e.g. 9 minutes 25 seconds = 9.25 minutes).

Men : VO2max (ml/kg/min) = 14.76 -(1.379 × T) + (0.451 × T²)-(0.012 × T³) Women: VO2max (ml/kg/min) = 4.38x T -3.9 (ACSM, 2023), 3 months",,Nouran Hesham Slama Younis,,ALL,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",P.T.REC/012/004935,2025-02,2025-09,2025-09,2025-02-14,,2025-02-14,"Cairo University, Cairo, 12613, Egypt",
NCT06031428,MANAGe-DM: Novel Nurse Case Management to Improve Diabetes Outcomes in Formerly Incarcerated Black Men,https://clinicaltrials.gov/study/NCT06031428,MANAGe-DM,RECRUITING,"The study is a randomized control trial involving 100 participants (formerly incarcerated Black men with poorly controlled diabetes) to examine the effect of a tailored nurse case manager on glycemic control and other clinical outcomes, self-care behaviors, and quality of life at 6 months post-randomization.",NO,"Diabetes Mellitus, Type 2",BEHAVIORAL: MANAGe-DM - novel nurse case management|BEHAVIORAL: Monthly Educational Mailing,"Hemoglobin A1C, Venous draw will be use to obtain HbA1C, 6 months post-randomization","Blood Pressure, Blood pressure readings (both systolic and diastolic) will be obtained using automated BP monitors programmed to take 3 readings at 2 minute intervals and give average of the 3 readings, 6 months post-randomization|Quality of Life (Short Form Health Survey, SF-12), The Short Form Health Survey (SF-12) version 1, developed by Ware et al. in 1996 is a valid and reliable instrument that will be used to measure quality of life. Scores will be reported in physical health related (PCS) and mental health related (MCS). Scores range from 0 to 100 with higher scores indicating better quality of life., 6 months post-randomization",,Medical College of Wisconsin,,MALE,"ADULT, OLDER_ADULT",PHASE2,100,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",PRO00044942,2024-02-20,2026-11-01,2027-11-01,2023-09-11,,2024-09-23,"Center for Advancing Population Science, Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",
NCT06257966,A Phase 3 Study to Evaluate the Efficacy of JY09 Compared With Dulaglutide in Combination Therapy Diabetes Mellitus Type 2 Patients With Metformin,https://clinicaltrials.gov/study/NCT06257966,,RECRUITING,The aim of the study is to compare the efficacy and safety of two JY09 doses versus dulaglutide as add-on therapy to metformin in participants with type 2 diabetes mellitus (T2DM),NO,Type2 Diabetes Mellitus,DRUG: Exendin-4 Fc fusion protein injection(1.2mg）|DRUG: Exendin-4 Fc fusion protein injection（2.4mg）|DRUG: Dulaglutide|DRUG: Metformin,"HbA1c, Change in glycated hemoglobin (HbA1c) values relative to baseline after 26 weeks of treatment, Baseline, Week 26","The proportion of HbA1c <6.5% and <7%, Proportion of subjects with HbA1c \<7% and HbA1c \<6.5% after 26 and 54 weeks of treatment, Baseline, Week 26,Week 54|HbA1c, Change in HbA1c relative to baseline after 6, 10, 14, 20, 38, and 54 weeks of treatment., Baseline, Week 6,Week 10,Week 14,Week 20,Week 38,Week 54|fasting plasma glucose (FPG), Change in fasting plasma glucose (FPG) relative to baseline after 6, 10, 14, 20, 38, and 54 weeks of treatment., Baseline, Week 6,Week 10,Week 14,Week 20,Week 38,Week 54|fasting insulin, Change in fasting insulin relative to baseline after 14, 26, and 54 weeks of treatment., Baseline, Week 14,Week 26,Week 54|Homeostatic Model Assessment of Insulin Resistance(HOMA-IR), Change in HOMA-IR relative to baseline after 26 and 54 weeks of treatment., Baseline,Week 26,Week 54|Health Survey Short Form (SF-36), Value of change in Health Survey Short Form (SF-36) scores relative to baseline after 26 and 54 weeks of treatment., Baseline,Week 26,Week 54|blood pressure, Change in blood pressure (sitting) relative to baseline after 26 and 54 weeks of treatment.

The blood pressure includes systolic and diastolic blood pressure., Baseline,Week 26,Week 54",,"Beijing Dongfang Biotech Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE3,600,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,DFBT-JY09-DM-302,2024-07-17,2025-04-01,2025-12-31,2024-02-14,,2024-08-22,"Peking University First Hospital, Beijing, Beijing, 100034, China",
